ui_music_volume|Громкость музыки:
ui_switch_to_module_question|Этот сервер использует другой модуль. Хотите переключиться на этот модуль?
ui_download_module_question|Этот сервер использует модуль, не установленный на вашем компьютере. Хотите посетить сайт загрузки этого модуля?
ui_download_mb_new_version_question|Этот сервер использует более новую версию (%d.%d%d%d) Mount&Blade, чем у вас (%d.%d%d%d). Хотите посетить сайт TaleWorlds для загрузки?
ui_download_mb_old_version_question|Этот сервер использует более старую версию (%d.%d%d%d) Mount&Blade, чем у вас (%d.%d%d%d).
ui_download_module_new_version_question|Этот сервер использует более новую версию (%d.%d%d%d) модуля, чем у вас (%d.%d%d%d). Хотите посетить сайт загрузки модуля?
ui_download_module_old_version_question|Этот сервер использует более старую версию (%d.%d%d%d) модуля, чем у вас (%d.%d%d%d).
ui_authenticating_with_steam|Аутентификация в Steam...
ui_validating_serial_number|Проверка серийного номера...
ui_scanning_lan|Сканирование локальной сети...
ui_retrieving_servers|Получение списка серверов...
ui_shield_size2|Размер: %dx%d
ui_click_to_view_notes|Кликните для просмотра заметок
ui_retrieving_server_infos|Получение информации с серверов (%d)...
ui_connecting_to_server|Подключение к серверу...
ui_requesting_to_join_the_game|Запрос на присоединение к игре...
ui_loading|Загрузка...
ui_group_value_control|Группа %d!
ui_drop_weapon|Выбросить оружие
ui_multiplayer_message_all|Отправить сообщение всем
ui_multiplayer_message_team|Отправить сообщение команде
ui_command_line|Командная строка
ui_use_ranged_weapon_as_melee|Переключить режим оружия
ui_send_message_all|Отправить сообщение всем
ui_send_message_team|Отправить сообщение команде
ui_select|Выбрать
ui_context_menu|Контекстное меню
ui_round_starts_in_value_seconds|Раунд начнётся через %d сек...
ui_watching_value|Наблюдение за %s
ui_capital_spec|НАБЛ
ui_capital_dead|МЁРТВ
ui_instancing_error1|Не удалось заблокировать буфер инстансов (размер: %d), Инстансинг мешей отключён (Код ошибки: %d)
ui_instancing_error2|Не удалось разместить инстансы объектов, Инстансинг мешей отключён
ui_by_keyboard|Клавишами движения
ui_combat_speed_slowest|Самая медленная
ui_combat_speed_slower|Медленнее
ui_combat_speed_normal|Обычная
ui_combat_speed_faster|Быстрее
ui_combat_speed_fastest|Самая быстрая
ui_module_newer_than_application|Выбранный модуль требует более новую версию игры.
ui_module_older_than_application|Выбранный модуль требует более старую версию игры.
ui_unbalanced|Несбалансированный
ui_can_crush_through_blocks|Может пробивать блок
ui_turn_camera_with_horse|Поворачивать камеру с лошадью от первого лица:
ui_widescreen_mode_on|Многоэкранный режим включён
ui_widescreen_mode_off|Многоэкранный режим выключен
ui_notification_cant_upgrade|(Нельзя улучшить: недостаточно денег)
ui_turn_never|Никогда
ui_turn_ranged_only|Только дальний бой
ui_turn_melee_only|Только ближний бой
ui_turn_always|Всегда
ui_general_options|Общие настройки
ui_vac_enabled|Valve Anti Cheat включён
ui_campaign_ai|ИИ кампании:
ui_downloading_map|Загрузка карты (%d КБ)
ui_download_completed|Загрузка завершена.
ui_server_filter|Фильтр серверов
ui_has_players|С игроками
ui_is_not_full|Не заполнен
ui_is_password_free|Без пароля
ui_native_only|Только Native
ui_ping_limit|Лимит пинга
ui_filter_info|Отфильтровано %d игр и %d игроков
ui_is_version_compatible|Совместим с модулем
ui_ttnet_account|Аккаунт TTNET Oyun
ui_username|Имя пользователя
ui_password|Пароль
ui_error_incorrect_username_or_password|Неверное имя пользователя или пароль
ui_validating_account|Проверка аккаунта...
ui_plase_enter_your_serial_key|Пожалуйста, введите ваш серийный ключ
ui_texture_detail2|Детализация текстур:
ui_antialiasing2|Сглаживание:
ui_napoleonic_key_does_not_exist|Этот мод требует DLC Napoleonic Wars!
ui_delete_module_workshop|Вы уверены, что хотите отписаться от этого модуля?
ui_delete_module|Вы уверены, что хотите удалить модуль?
ui_delete_native_module|Вы не можете удалить стандартные моды.
ui_incompatible_module|Этот сервер несовместим с вашим текущим модулем. Используйте утилиту настройки для смены модуля.
